Year,Units,general.territorio,Serie,general.series,DIM_DES.COMPOSITE_BREAKDOWN,Value
2009,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_050A1B_01,COMPOSITE_BREAKDOWN._T,30.11
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_050A1B_01,COMPOSITE_BREAKDOWN._T,32.68
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_050A1B_01,COMPOSITE_BREAKDOWN._T,34.29
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_050A1B_01,COMPOSITE_BREAKDOWN._T,34.42
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_050A1B_01,COMPOSITE_BREAKDOWN._T,34.12
2009,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_050A1B_02,COMPOSITE_BREAKDOWN._L_TTNR_OWN,32.63
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_050A1B_02,COMPOSITE_BREAKDOWN._L_TTNR_OWN,33.68
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_050A1B_02,COMPOSITE_BREAKDOWN._L_TTNR_OWN,35.92
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_050A1B_02,COMPOSITE_BREAKDOWN._L_TTNR_OWN,34.74
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_050A1B_02,COMPOSITE_BREAKDOWN._L_TTNR_OWN,36.45
2009,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_050A1B_03,COMPOSITE_BREAKDOWN._L_TTNR_LEASE,28.06
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_050A1B_03,COMPOSITE_BREAKDOWN._L_TTNR_LEASE,28.09
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_050A1B_03,COMPOSITE_BREAKDOWN._L_TTNR_LEASE,25.58
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_050A1B_03,COMPOSITE_BREAKDOWN._L_TTNR_LEASE,24.17
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_050A1B_03,COMPOSITE_BREAKDOWN._L_TTNR_LEASE,23.71
